latitude,longitude
-24.026525667888205,-46.47823694263504
-12.092512976501041,-45.806926726764516
-27.687414607255846,-48.77188913727158
-25.09601904828747,-50.20428153617876
-24.517638745035434,-51.674409443391355
-15.597978722839215,-56.10713097556964
-23.731595183841126,-46.666616911554875
-20.162109146386353,-44.90191602362892
-26.732885867295646,-49.17013948595085
-23.04025231555285,-46.979782036139525
-22.383436514042817,-46.94792654261969
-29.692576960657448,-53.812342318454164
-23.498059272714258,-46.69242441696751
-16.71578894009003,-49.27402612240441
-20.252688293692476,-42.040598534498436
-22.87777517954261,-43.57771051289784
-23.464889586369058,-46.52233784386377
-16.058833688303896,-48.00253380435611
0.07619662996933353,-51.04707618506419
-16.02400312213015,-48.07165016426906
-17.831339487997216,-53.28242914765829
-28.30487550473039,-54.26489553802902
-29.779238329862242,-51.14850627652795
-14.861839997901694,-40.823996358837306
-21.74266786883475,-41.31314052741218
-27.244144349224477,-52.023606096539496
-22.209160354419872,-45.85514365316303
-2.757229669003767,-42.83179515539183
-19.742465619045834,-47.91461236949278
-23.405071357071822,-46.47090013741649
-23.192903749104506,-47.2753096960776
-9.595761133760632,-35.74882663845113
-22.91624456473871,-43.217950335265314
-20.8944987962768,-51.373938917694275
-23.664447576004186,-52.59634307435398
-23.43480138584428,-46.51702543654886
-16.65493070695131,-49.24207933928535
-27.589316882452696,-48.52246814146245
-23.49744829002551,-46.49414127983121
-22.868363814263645,-43.46923216795061
-22.790081942995197,-43.172573193563636
-23.48761470851276,-46.603991023751746
-23.55070297176536,-46.59043468474226
-28.183372036296035,-52.03985047911124
-23.777982270025362,-53.32903137915735
-15.675491654720293,-58.09132744965036
-24.986482985801867,-53.4931971064704
-23.61087407551533,-46.634451125019986
-23.232505015099704,-45.92657167281117
-21.12905302884395,-42.357050866903734
-22.633046009436118,-47.052603912237764
0.055708755876180245,-51.06155039105695
-23.009699088836328,-46.85433450987479
-20.34379478959137,-40.345118656210865
-7.877711226236677,-35.44809501145187
-23.536502958352973,-47.18889011605327
-23.463513771636933,-46.586237323090096
-14.312747501518933,-49.153687621017596
-19.77997183602298,-47.91360518827711
-22.729277662911585,-43.46322545433846
-25.51720041685248,-49.264433478949705
-23.59680394879425,-46.63462180317358
-18.645099494741665,-48.20499335469827
-21.208293014839626,-50.44037744532275
-23.607718189069413,-46.899975069743455
-16.686665574876255,-49.27229649367005
-20.366701930567036,-40.3171892178199
-16.36381396260518,-46.89530822527895
-23.642226594229374,-46.60775727102568
-22.878636914963185,-43.08609614601049
-22.334793192506897,-49.07545610735668
-9.602354471317302,-35.76957868028244
-23.60537881954435,-46.61387919950285
-22.906374170614946,-43.56641006132979
-8.366340905422762,-35.241202970272305
-23.561456812728604,-46.63294793571506
-29.828980460113236,-51.15068614721685
-22.780162791974302,-43.30430364671711
-1.380069342552512,-48.4155685112378
-23.542064478545445,-46.605675589722296
-18.777954733022703,-40.9833611613696
-22.914787266177132,-43.59078039553712
-29.78072314714336,-55.79044638233172
-25.400782005748173,-49.18511683700122
-23.598519138723162,-46.5889764015641
-23.170084199458067,-46.873580899201464
-23.517643001212136,-46.592756877647595
-21.79634965740318,-43.34773901387564
-21.693370826873448,-45.25976867138689
